composite,full,tail20,tail10,ts_fold5,w_v032,w_v028,w_v017,w_v010,w_v029,spearman_to_first,mean_rank_delta
0.1232943106699094,0.13644639918890453,0.1238290290152211,0.11712953072112121,0.11987669242515421,0.45997359929547554,0.19479677752456115,0.12063538057564235,0.17133681193084496,0.053257430673475915,0.91394793165515,0.08673840521156942
0.12328940313899368,0.13645413697880743,0.12393669446407803,0.1170767821942781,0.11983440371956307,0.47222144442715425,0.18053174804658823,0.12398567524844076,0.15673271126577448,0.06652842101204232,0.913582789023292,0.08679105116066733
0.12327517836589204,0.13665922590559315,0.12377338189916959,0.11720942983576108,0.1196751409885692,0.45652919845747103,0.20786453041199646,0.13519650668488992,0.14500265672883966,0.05540710771680296,0.9164395192087607,0.08521854548617872
0.12326765064271152,0.13661312110306112,0.1238943041970246,0.11695289185903156,0.11979412176553281,0.456981042330925,0.1786313948879922,0.1410901850774741,0.15572808826700932,0.06756928943659926,0.9149873588792751,0.08603040787768397
0.12326715057448547,0.13672722370562412,0.12379948379144351,0.11704142373848941,0.11971843754414171,0.4487698336891056,0.19376145122199742,0.14474629501779726,0.151401957216254,0.061320462854845784,0.9165039150468253,0.08521095435039751
0.12326126619741382,0.136782568588784,0.12374938789386601,0.11695774487752364,0.11975839623286548,0.43634061401921304,0.19274381156853337,0.14987109487074904,0.16283747636616494,0.058207003175339604,0.9169316205684483,0.0850665515234429
0.12325980238695003,0.13593578012193244,0.12405386379911348,0.1170460758677896,0.12000101324512413,0.4441726018274177,0.23647671765188003,0.15882297775226253,0.16052770276843983,0.0,0.9116764078699776,0.08764522547666762
0.123259205643105,0.13636201606935083,0.12404829389920939,0.11683164414848506,0.1199120931779191,0.4577946875523064,0.17656173819752047,0.1507574070552804,0.15813406143832415,0.056752105756568624,0.9128330175175456,0.08710337092075361
0.12325334878635155,0.13584864433394825,0.12413372081731154,0.11696436450971129,0.12004509893906225,0.44621405438909134,0.22999129453536837,0.1636016104040108,0.16019304067152942,0.0,0.9107062947822856,0.08811056338801698
0.12325202369084243,0.13704597288130943,0.12344914173220961,0.11724342280709042,0.11954898590390288,0.4299664205413549,0.21886297153496376,0.13561833035359522,0.1584967507873003,0.05705552678278569,0.9201226221387536,0.08341745292805176
