composite,full,tail20,tail10,ts_fold5,w_v032,w_v028,w_v010,w_v017,w_v029,w_v023,spearman_to_first,mean_rank_delta
0.12336137908771078,0.13572300408683677,0.12406313214679651,0.11767985247721041,0.11995482491909001,0.5369696780627309,0.22322101113275386,0.15869722470927491,0.04722772979776832,0.02087599851688118,0.013008357780590781,0.9074691655436958,0.08991660982668091
0.12336012463258991,0.13604966124773218,0.12391378746332929,0.11769748166184119,0.11983732707119235,0.5321543587757235,0.22243955756425743,0.15807984013881082,0.04303591906388452,0.027009101230509962,0.01728122322681368,0.9099228381816984,0.08869919102937256
0.12335963203279937,0.13546790126410738,0.12411831016275258,0.11775584917169891,0.12000979272715043,0.5438298966142385,0.224835127212209,0.15918046704573519,0.04214961651765047,0.023296162123570545,0.006708730486596234,0.9057084735459505,0.09081047620804741
0.12335951047649425,0.13580952443796615,0.12407683421937808,0.1176040163607844,0.11994638472808375,0.532721501685158,0.21990537888884154,0.157041837726762,0.05486563860022835,0.020560566238297835,0.014905076860712381,0.9080378662581462,0.08960469003913056
0.12335950991660331,0.1357468326287374,0.12403668213408296,0.1177766470558306,0.11988184342880454,0.5480759573715087,0.2310029000271245,0.15130701186207646,0.03595144899686398,0.015436785747495104,0.018225895994931213,0.9076937766788888,0.0897377605710261
0.12335939536473993,0.13565756507367402,0.1240839391409475,0.1177163060843443,0.11994862285922729,0.5513965028524596,0.23333351876486036,0.15858632013457452,0.03161291168713232,5.421964198836698e-05,0.02501652691898476,0.9065484289149327,0.09033482045966743
0.12335904947875073,0.1356443596038623,0.12410137333332169,0.11760843667514856,0.12002226777864801,0.5319670619079889,0.21884307490557459,0.16465823332785262,0.053019340599497554,0.020871393025521254,0.010640896233565083,0.9067617126185287,0.09031745357025432
0.12335896201981138,0.13527640876367164,0.12426661742402392,0.11766358266326726,0.12009846033272983,0.5520674456005281,0.2162022210804349,0.15911205079455898,0.04431345594288196,0.0204197918026932,0.007885034778902794,0.9036734897270229,0.09178302919738031
0.12335892124987402,0.13590696020326617,0.12400837609053021,0.11759697590135955,0.11993317147364244,0.5248942135091959,0.2198240423873746,0.16158988543136296,0.05658154651077821,0.02341201365313005,0.013698298508158482,0.908901406181984,0.08922440386320094
0.12335887378802421,0.1362951949077022,0.12382736394774854,0.11763408682633003,0.11978811517243297,0.5223245950015,0.22306424261116675,0.1610406045900232,0.047274384478427696,0.023687905839481875,0.022608267479400673,0.911728528434219,0.08780128803100416
0.12335861605693024,0.13585749272614286,0.12402783434178918,0.1176149944140631,0.11993657725665159,0.5460477859524518,0.20815470697468508,0.16511799500987742,0.032811130176283766,0.027923928666644192,0.019944453220057726,0.9073948865751154,0.09001756862806862
0.1233586122304842,0.13602062878945942,0.1239956113957937,0.11757799861417766,0.11988818439968328,0.5294641742048473,0.21300539868773816,0.15844260494889667,0.053058901554327985,0.029493912763569812,0.016535007840620005,0.9094170336191351,0.08894173888611075
0.12335852860820298,0.13555546123572942,0.12410712894159763,0.11769801241465938,0.12000430705449348,0.5340115378518798,0.2354686060989517,0.15919207424314952,0.05228436342309701,0.006727245272528259,0.012316173110393767,0.9066794715664259,0.09029217794682542
0.12335808043570501,0.13586388958108994,0.12406637540587037,0.11763305163256418,0.11989647008620546,0.540884140168266,0.223567868820919,0.15250894805554216,0.047196315082160045,0.01435641574419977,0.021486312128912954,0.9082659330756738,0.08944106387617286
0.1233580561063911,0.13591794672120386,0.12406762335964149,0.11755598065327534,0.11991984836258056,0.5350656458454757,0.21629833531444628,0.1566367160555036,0.052625969831971195,0.018949290899902323,0.020424042052700892,0.9084764985332306,0.08937062049934309
0.12335803118045861,0.13606258750289071,0.1238933366778095,0.11774251158485698,0.1198034812802981,0.530820310257307,0.23862178871362244,0.15406534661340612,0.04407241862544156,0.009897546945977824,0.022522588844245062,0.9104797980515702,0.08835623167555184
0.12335781138863595,0.13546851027749657,0.12415546355645356,0.11774507674713723,0.1199907069573189,0.544755184122198,0.23237991916065212,0.15251153647536647,0.04711876579803699,0.012277086035656333,0.010957508408090223,0.9059167668490314,0.09062099579882309
0.12335781022990572,0.13566706332013712,0.12405991981065471,0.11763493851301458,0.12001051135855344,0.5346472520176024,0.21608183337258796,0.1678766188532679,0.04543555066232017,0.02528954088884596,0.010669204205375473,0.906741308797042,0.09037545793726527
0.12335769022787217,0.13542661730133457,0.12420419725404637,0.1176315161517281,0.12006756651103989,0.5434144408027485,0.2111060646980374,0.16075790659867537,0.04957940001628891,0.02971401886417917,0.005428169020070619,0.9049198345831162,0.09120386653451136
0.1233575461926428,0.13557598925079986,0.12410385045826279,0.11770477298445568,0.11998681429918953,0.5331960195975624,0.2295817355533783,0.1563330157818844,0.05499073568955919,0.018209307149949675,0.007689186227666208,0.9069220479518403,0.09016697359441479
0.12335738587280469,0.13603549456648564,0.12397699941342236,0.11754531030130046,0.11991017000427992,0.5189383309687846,0.220685236229958,0.1622193808545413,0.061319438066574396,0.019760873026709903,0.017076740853431784,0.9098630439087512,0.0887330463699757
0.12335735834830547,0.1355620930535212,0.12407105046032721,0.11773193020436565,0.11999356312698392,0.535017233331966,0.22534171846905524,0.1609107232316676,0.04817132749496623,0.02512730977766073,0.005431687694683927,0.9066527507425162,0.09036425100611395
0.12335732886952155,0.13547130957813017,0.12414789949122852,0.11775910592523417,0.11998203021240363,0.5474439036128435,0.224845996561343,0.15223742670178383,0.04413625628237166,0.0238854213792192,0.007450995462438832,0.905803997866729,0.09069722726173352
0.12335731777886207,0.13584279094146468,0.1240407282066598,0.11763847482832442,0.11991712926330306,0.5349858686562918,0.21259621779100013,0.15643988167758702,0.0504974499841862,0.034756381268595316,0.010724200622339489,0.9082482237020443,0.08952680958469476
0.12335711636919688,0.13620707472329932,0.12390855501339763,0.11755469900536322,0.11984375905861905,0.5224853391894014,0.2272846254989151,0.16201996241286273,0.05243372059719784,0.008012033604416944,0.027764318697205786,0.9109190979503334,0.08817810349198967
0.12335709247659274,0.13593660187418755,0.12402838132898929,0.11754361661114887,0.11993769052334331,0.534328859816583,0.22071791250685366,0.1645694470730369,0.046200128423442184,0.008443363106046852,0.025740289074037588,0.9083983638332785,0.08946645838571818
