a,b,pearson,spearman,mean_rank_delta,p90_rank_delta
submitted,kfold_ensemble,0.9526808573350274,0.9541076059906548,0.06288975103744655,0.14673649862770355
submitted,v017_single,0.850784504176317,0.8527637305886115,0.11267397334212123,0.2632230107275124
submitted,v032_model,0.7956753568704454,0.7981492162096822,0.13492514016709814,0.3077623483459042
kfold_ensemble,v017_single,0.9137372130639363,0.9144056694429384,0.08887120316277222,0.20077171935653515
kfold_ensemble,v032_model,0.8318348987488576,0.9007185940878621,0.0967686328837292,0.21599222520157058
v017_single,v032_model,0.8405573002556643,0.9171283320827086,0.08373423874541085,0.1958323809948546
