version,coverage,full,tail20,tail10,tail5,composite,cv_json,spearman_to_anchor,spearman_to_failed_tail,spearman_to_failed_utility,rank_delta_to_anchor,std
v032,1.0,0.12531807813547624,0.10188930584267035,0.1555839339567439,0.20046923780479248,0.13034444078775625,0.12531807813547624,0.7981492162096802,0.9466099809707919,0.8449286314064001,0.13492488944677822,0.33120653905234726
v031,1.0,0.1215159267927794,0.11268949743934213,0.12933040544636107,0.16816954395012498,0.12470553150052002,0.1215159267927794,0.8244297313951874,0.9122323211858853,0.8583376676815895,0.12233869796412392,0.26876283097347275
v016,1.0,0.11851514906397435,0.10448830090986651,0.1458854754004913,0.18112042138125237,0.12467317079994734,0.11851514906397435,0.7348997226050402,0.8137820614221684,0.7823625848864242,0.15631874777828095,0.39051031572294703
v021,1.0,0.13028666523431098,0.08609031100277338,0.1398147428496112,0.17662883482935104,0.12309118756664875,0.14326128135927776,0.96140063719594,0.8137570835094596,0.9528155138172566,0.06024797170709053,0.5593019365351117
v017,1.0,0.12569332371793712,0.09724155803718477,0.13388436859156772,0.16778254853630353,0.12259537322659265,0.12569332371793712,0.8527637305886144,0.9033091111812837,0.8918992120627464,0.11267376396931933,0.2991954339535885
v025,1.0,0.12564369273903533,0.08339080037395342,0.14447605683247355,0.182895015721657,0.12151781194178868,0.13827298880122216,0.9266626798039178,0.8666643428541652,0.9327299561227754,0.08147704760258762,0.5770572666855103
v024,1.0,0.12840225214969833,0.08300180547260805,0.13095436192725168,0.16409221846276617,0.11873393124451104,0.14114251513532006,0.9530969706796809,0.7949683447648327,0.9428141700949475,0.06578802730463376,0.5582525577392342
v033,1.0,0.12274899967705724,0.08232851552726,0.14068404386438127,0.17461347053360518,0.11849955814587147,0.1350324876964646,0.9055844456779932,0.885441654026381,0.9168822926057835,0.09228624236136325,0.5804411358818906
v028,1.0,0.123596624472201,0.0907435042169218,0.12364448465907,0.16424440889263983,0.11781264586569147,0.1357915886113605,0.8689161265339117,0.824944313987324,0.8581319955528446,0.10535672785270449,0.3533360418651424
v020,1.0,0.12034423815403633,0.0899962346863702,0.12892877401428854,0.1707853027431639,0.11757162395168706,0.1323466619499689,0.9301801726218488,0.8303429679824773,0.9191586983424639,0.07700386470491588,0.4738852195810153
v023,1.0,0.12907759953154518,0.08091400454457097,0.12730961925760864,0.15960956602524207,0.11741652064373212,0.1418794215575016,0.9434799224286339,0.7779127639714745,0.9319566184526262,0.07207284672302709,0.5447920104121093
v030,1.0,0.12121846668403576,0.09171775300453301,0.12262454767808811,0.16334112706344162,0.11679143076723336,0.13326879327089275,0.921436127709579,0.8547645979066764,0.9140737628302905,0.08207830884796363,0.40974448067790065
v022,1.0,0.1208247460234651,0.0791673290401476,0.14151921763627834,0.1697220646682543,0.11632142353487075,0.1328218821124648,0.8769622720785429,0.8762027251365593,0.8909576478431798,0.104510809530854,0.5977313294512254
v029,1.0,0.12206747723261574,0.08306281930207005,0.11955190984640902,0.1723210499703671,0.11501410201929617,0.13406606770957216,0.8893271284705482,0.7996233278133634,0.8752762383652934,0.09482265640243667,0.43833376801168433
v026,1.0,0.12550408214023193,0.07994646979464022,0.12084975668109166,0.1525762994984881,0.113845871353509,0.1380254626304828,0.9503318934677433,0.7928049070337884,0.9396359721073522,0.06715484068327485,0.553725084913597
v018,1.0,0.12618169165463664,0.07913141539986027,0.11313799087794507,0.14479349621914825,0.11197123411815116,0.13869970096086953,0.9362764425390593,0.7592260144635847,0.9220812165380972,0.07479695941121406,0.579798225255237
v019,1.0,0.12152990678876184,0.08658129123810042,0.11073439348824449,0.14387472123372133,0.11166047657298177,0.13361507951495946,0.9031387153000785,0.8027593531987681,0.8887371186602677,0.08831506984300336,0.4465110604649533
v007,1.0,0.06404380954924606,0.10220180636407053,0.08922804300071083,0.10307655342013212,0.08317211799850172,0.0024015327305053624,0.49318500947245103,0.5752657185244937,0.48836453802221547,0.21967379062800527,0.08448825301954378
v010,1.0,0.07244653273719266,0.06985807834621896,0.10125775056148689,0.12063213797896002,0.08081023961772142,0.0038684141663220205,0.5570109172594773,0.6086167364946088,0.5432096984141433,0.20695540375456886,0.11764328036684901
v006,1.0,0.06149001195809267,0.09883469742305273,0.08004036695959822,0.09541995341207468,0.07886896499320473,0.001803501162927401,0.5041676800363794,0.585225855315966,0.4997118703805808,0.21539555298899832,0.08654421427611074
v005,1.0,0.0605944173620785,0.1026482377457451,0.07216144763471227,0.09156375734154953,0.07804255201602064,0.0020429052104421475,0.4544543203814823,0.5502287489256806,0.4545850927295547,0.22933245016847015,0.06541859702918078
v011,1.0,0.07109546000767472,0.08977863137460772,0.059913046555549215,0.06614861183283023,0.07452836458245135,0.003998171573605447,0.5235376472737111,0.5953545679827278,0.5154221811161801,0.21490434138193665,0.11237368497756647
v003,1.0,0.06262249830069791,0.09411985202513959,0.06963449309861297,0.07422339865266755,0.07428359367291465,0.0022631149189952906,0.48320678345876217,0.5669186775482415,0.47777567707687857,0.22201774596606527,0.09012498530771976
v008,1.0,0.05555359283528853,0.09433712160892317,0.0775857512465165,0.08844827879340669,0.07378294382487494,0.0011806474399181255,0.48044097439198447,0.5707589512723447,0.47729032179865366,0.22224521638920627,0.08378215462009836
v027,1.0,0.004798721826179743,0.10100160564695482,0.15417792945214873,0.1807498117684328,0.07366157711053292,0.005262983983826273,0.8948859745379806,0.7995636678950282,0.8902841851716224,0.09635077210614039,55698.88620667918
v009,1.0,0.05698713692155084,0.09504091436314344,0.061551195539260486,0.07322190988118704,0.07071135624264868,0.0016757661014981107,0.47653904284653914,0.5713468291738126,0.47410406883799255,0.22336983184422243,0.08280545720786206
v012,1.0,0.05881367609319607,0.0779499466248377,0.06694805294087966,0.08293766005084044,0.06818711217560554,0.0021982611089365277,0.493597849727453,0.5603423303586604,0.4841861895332516,0.2221804739481354,0.09415344115889977
v002,1.0,0.05043261817928603,0.09894033328389398,0.055608874864020455,0.07212796448395346,0.06793090584384533,0.00019579296880554154,0.4697429065482843,0.5610297934919779,0.4707723960617273,0.22418713960026077,0.059428040939252684
v004,1.0,0.05129081766789089,0.07465604453646948,0.06377495964542917,0.07077752433879986,0.062121677692186114,0.0008409981843672032,0.46477784452560705,0.5509834637527964,0.4609268731911113,0.22714050813741238,0.08177372384690448
v013,0.7000015212422465,0.029590860532040478,0.03369220289752871,0.10906255418120661,0.10015746879707668,0.04979867811556549,-0.00388498950356726,0.22804241349414892,0.37386259653422765,0.2569129851816306,0.28063638916843836,0.04197496980023314
v015,1.0,0.05333767269324284,0.007728946242228682,-0.00794498659079552,0.04237085980003476,0.02936597457601203,0.05333767269324284,0.37060940366888606,0.31431239921392684,0.3542627368363135,0.25196717156772164,0.22335102533814277
v014,1.0,0.021671942057286384,0.0038010734870838276,0.013947225625909448,0.07652856820550202,0.02063763663634064,0.021671942057286384,0.3604482749124541,0.3217635327353032,0.34625249802027436,0.25190517080874064,0.22266055002443927
v001,1.0,0.0152242839293953,-0.01355881443808125,-0.043837472832016444,-0.03769010102726387,-0.007561347590725344,-0.002858690892029592,0.24678759672320294,0.2765545435877374,0.2394534779120796,0.27782929269565043,0.03082016729537869
