mode,beta,spearman_first,spearman_failed,spearman_utility,rank_delta_first,mean,std,min,max,anti_failed_utility
raw,0.02,0.9999907118006364,0.9064654573455532,0.995467657215825,0.0008868776757797068,-1.0562746234471433e-19,0.577350269188629,-0.9999981417820311,0.999998141782031,0.0009353454265444683
raw,0.04,0.9999636694593476,0.9047208610332597,0.9951413978840953,0.0017545546682572908,-1.0562746234471433e-19,0.577350269188629,-0.9999981417820311,0.999998141782031,0.0009527913896674034
raw,0.06,0.9999200211256803,0.9029997144443244,0.9948052182486187,0.00260396597373794,1.0562746234471433e-19,0.577350269188629,-0.9999981417820311,0.999998141782031,0.0009700028555567564
raw,0.08,0.9998608341957966,0.9013016314024722,0.9944599933383619,0.0034358549208449297,-1.0562746234471433e-19,0.577350269188629,-0.9999981417820311,0.999998141782031,0.000986983685975278
raw,0.1,0.9997871171151231,0.8996264657939685,0.9941065183163378,0.004250674367121009,2.1125492468942865e-19,0.577350269188629,-0.9999981417820311,0.999998141782031,0.0010037353420603145
raw,0.12,0.9996998199780803,0.8979739804243744,0.9937455568948751,0.005048874697779529,1.0562746234471433e-19,0.577350269188629,-0.9999981417820311,0.999998141782031,0.0010202601957562563
raw,0.15,0.9995453536078507,0.8955373891839432,0.9931916771039997,0.006216130853005696,5.2813731172357164e-20,0.577350269188629,-0.9999981417820311,0.999998141782031,0.0010446261081605678
raw,0.18,0.9993651294748135,0.8931507686721623,0.992624807491698,0.007348496004076028,5.2813731172357164e-20,0.577350269188629,-0.9999981417820311,0.999998141782031,0.0010684923132783775
raw,0.2,0.9992319273871729,0.891586850198036,0.9922406627322943,0.008084862119596536,3.16882387034143e-19,0.577350269188629,-0.9999981417820311,0.999998141782031,0.0010841314980196404
raw,0.25,0.9988583055809219,0.8877709608111308,0.9912624084178184,0.009863535079354394,0.0,0.577350269188629,-0.9999981417820311,0.999998141782031,0.0011222903918886918
raw,0.3,0.9984342965340882,0.8840851348959722,0.9902644632161351,0.011558177982665363,-1.0562746234471433e-19,0.577350269188629,-0.9999981417820311,0.999998141782031,0.0011591486510402781
rank,0.02,0.9999656214804482,0.9047583656423491,0.9951489310488657,0.0017894862379519156,5.281373117235716e-19,0.5773502691886071,-0.9999981417820311,0.999998141782031,0.0009524163435765087
rank,0.04,0.9998630351049429,0.9012350445268181,0.9944491767159982,0.003576139479915988,2.1125492468942865e-19,0.5773502691885867,-0.9999981417820311,0.999998141782031,0.0009876495547318188
rank,0.06,0.9996930465051336,0.8976645930490456,0.9936847183868561,0.00536013627645387,-1.0562746234471433e-19,0.5773502691886078,-0.9999981417820311,0.999998141782031,0.0010233540695095444
rank,0.08,0.9994564732942532,0.8940479096504708,0.9928563581676068,0.007141382337203994,3.16882387034143e-19,0.577350269188587,-0.9999981417820311,0.999998141782031,0.0010595209034952925
rank,0.1,0.9991541430662175,0.8903859729919198,0.991964963958619,0.008919724805912431,1.0562746234471433e-19,0.577350269188526,-0.9999981417820311,0.999998141782031,0.0010961402700808021
rank,0.12,0.9987868498582109,0.8866793451418575,0.9910113794276556,0.010695314360006503,1.584411935170715e-19,0.5773502691885894,-0.9999981417820311,0.999998141782031,0.0011332065485814247
rank,0.15,0.9981160884926985,0.8810391031037536,0.9894666675129513,0.013353568433270617,0.0,0.5773502691885788,-0.9999981417820311,0.999998141782031,0.0011896089689624645
rank,0.18,0.9973048069351377,0.8753101564620384,0.9877889006541406,0.016003864630676937,2.1125492468942865e-19,0.5773502691886095,-0.9999981417820311,0.999998141782031,0.0012468984353796164
rank,0.2,0.9966878690048235,0.8714459479255182,0.9865989500804144,0.017765465292694925,-1.0562746234471433e-19,0.5773502691884222,-0.9999981417820311,0.999998141782031,0.0012855405207448179
rank,0.25,0.9948892577127563,0.8616500538020918,0.9833866153543283,0.022145739080558825,-1.0562746234471433e-19,0.577350269188358,-0.9999981417820311,0.999998141782031,-0.0004438340897117033
rank,0.3,0.9927454257918111,0.8517072579087612,0.9798614085750891,0.026483521557680776,-1.0562746234471433e-19,0.5773502691885385,-0.9999981417820311,0.999998141782031,-0.005958464033421098
