file,valid,rows,local_score,score_source,spearman_to_anchor,max_spearman_to_failed,mean_spearman_to_failed,rank_delta_to_anchor,local_bonus,geometry_score,spearman_to_sub_calibrated_tail_cli_,spearman_to_sub_anchor_blend_utility
sub_ensemble_ranknorm_v005_v010_v012_v015_v017_v018_v019_v020_v021_v022_v023_v024_v025_v026.csv,True,538150,0.14974595251568731,oof_pearson,0.9999999999999998,0.9957830413899098,0.9520082190520625,0.0,0.8915317505229106,0.7402074147048134,0.908233396714215,0.9957830413899098
sub_anchor_blend_utility_scan.csv,True,538150,0.12908001355826854,scores.utility,0.9957830413899097,1.0,0.9672421989590314,0.019854337654882825,0.20266711860895126,0.6651800819076176,0.9344843979180629,1.0
sub_anchor_blend_micro_scan.csv,True,538150,0.12804221734404564,scores.utility,0.9981701704079322,0.9995076221684583,0.9629378691030417,0.013142334601832256,0.16807391146818804,0.6640442206183955,0.9263681160376251,0.9995076221684583
sub_push_ridge_anchor_20260710.csv,True,538150,0.1273898061364889,scores.utility,0.9985608439416741,0.9991773523376705,0.9618374406657596,0.011697340532358299,0.14632687121629667,0.6623641699281954,0.9244975289938487,0.9991773523376705
sub_anti_failed_rank_w020_040.csv,True,538150,,,0.9999349837294476,0.9947826924750618,0.9491570376217431,0.002468790082823812,0.0,0.6509015002335348,0.9035313827684244,0.9947826924750618
sub_anti_failed_rank_w025_025.csv,True,538150,,,0.9999250414636026,0.9947491670410913,0.9489313921826021,0.0026481270840154935,0.0,0.6508780099089262,0.9031136173241129,0.9947491670410913
sub_anti_failed_rank_w025_050.csv,True,538150,,,0.9998985276353353,0.9945131218359626,0.9484269860328197,0.0030854696755548494,0.0,0.6508581629073437,0.9023408502296768,0.9945131218359626
sub_anti_failed_rank_w030_030.csv,True,538150,,,0.9998921756538657,0.9945251869382987,0.9483009549498778,0.0031771184809220904,0.0,0.6508382233202198,0.9020767229614567,0.9945251869382987
sub_anti_failed_rank_w050_025.csv,True,538150,,,0.9997466625916089,0.9938262783919259,0.9462496823294457,0.0048720525528143386,0.0,0.6506859538149008,0.8986730862669655,0.9938262783919259
sub_113_v034.csv,True,538150,0.1344365333065319,oof_pearson,0.8878297480736003,0.9003624096511436,0.8906755491523497,0.10004000565631674,0.381217776884397,0.6419400484640064,0.8809886886535558,0.9003624096511436
