"decay","alpha","full","tail20","tail10","tail5","composite","runtime"
"1.0","3000.0","0.14326128135927776","0.08609031100277338","0.1398147428496112","0.17662883482935104","0.1289297648228838",""
"0.995","3000.0","0.14324899729751886","0.08605723567223361","0.1397999290796718","0.17660344782301252","0.1289095536298056",""
"0.99","3000.0","0.14323663394116457","0.08602398963002805","0.13978496102545204","0.1765778551260769","0.12888921182895796",""
"0.985","3000.0","0.1432241903896617","0.08599057094111143","0.1397698371426956","0.1765520555089174","0.12886873807997726",""
"0.97","3000.0","0.1431863710205713","0.08588926423362164","0.13972351144781509","0.17647338876030275","0.1288065118225461",""
"1.0","7500.0","0.1421239002451383","0.0847803115755654","0.1416226631993097","0.17903213667729084","0.1285364617306074",""
"0.995","7500.0","0.14211293852047413","0.0847527642867523","0.14161135259239488","0.17900682633246373","0.12851903714234464",""
"0.99","7500.0","0.14210190710072867","0.0847250776155513","0.14159990431493674","0.17898130642228693","0.12850149776946249",""
"0.985","7500.0","0.14209080521222955","0.08469725001185882","0.14158831691711093","0.17895557544647567","0.12848384243127514",""
"0.97","7500.0","0.14205706986654495","0.08461291051956482","0.1415527030536949","0.17887708822218507","0.12843016887608744",""
"1.0","30000.0","0.13745950399273155","0.08369835653918269","0.141721225403484","0.18119526879720327","0.12634399444872693",""
"0.995","30000.0","0.13744940274045092","0.08367710233985576","0.1417187367460823","0.18117419146696534","0.12633059159376853",""
"0.99","30000.0","0.1374392405082921","0.08365574350507517","0.141716153203756","0.18115292342178135","0.1263170966029955",""
"0.985","30000.0","0.13742901668779556","0.08363427887827547","0.14171347223726322","0.18113146058563984","0.1263035080671441",""
"0.97","30000.0","0.1373979701294073","0.0835692432990218","0.14170483932602795","0.18106589107913915","0.12626217455475794",""
"1.0","100000.0","0.13213980758933477","0.08460673943105256","0.14174028240859374","0.18240497608039552","0.12434647521384504",""
"0.995","100000.0","0.13212963965430172","0.08458655964026619","0.14174404960457457","0.18238754608707178","0.12433466778590899",""
"0.99","100000.0","0.13211941539005242","0.0845662855504174","0.14174775859130267","0.18236995376546028","0.12432278175589023",""
"0.985","100000.0","0.1321091338878106","0.08454591581573227","0.14175140829909172","0.18235219660464713","0.12431081589956292",""
"0.97","100000.0","0.13207794100598563","0.08448422400499335","0.14176199208321705","0.18229791697028236","0.12427443116370233",""
