group,models,alpha,full,tail20,tail10,tail5,ts_fold5,composite,utility,failed_excess,anchor_shortfall,rank_delta_excess,spearman_to_anchor,spearman_to_failed,mean_rank_delta_to_anchor
low_failed,v021+v023+v017,0.1,0.13661089539527893,0.11109253764152527,0.10728441178798676,0.14788086712360382,0.11109253764152527,0.1256834127008915,0.1256834127008915,0.0,0.0,0.0,0.9996888410908755,0.9074346683971848,0.0054876371286809444
conservative,v016+v017+v031+v032,0.24,0.14081443846225739,0.11611858010292053,0.1102214977145195,0.15237079560756683,0.11611858010292053,0.12997237555682659,0.12560715549308382,0.0068805909421081335,0.000676758567079605,0.0,0.9923232414329204,0.9418805909421082,0.026662690564990044
v021,v021,0.1,0.13513778150081635,0.11038901656866074,0.10747720301151276,0.1479731798171997,0.11038901656866074,0.12484760507941248,0.12484760507941248,0.0,0.0,0.0,0.9996209141686034,0.9018421852800207,0.0059507922269403934
strong_core,v021+v023+v025,0.1,0.13524344563484192,0.11024471372365952,0.10711823403835297,0.1474805325269699,0.11024471372365952,0.12474875301122668,0.12474875301122668,0.0,0.0,0.0,0.9996135356551136,0.9039491429213381,0.006045050453394651
v021,v021,0.12,0.13492009043693542,0.11026671528816223,0.10746211558580399,0.1478099226951599,0.11026671528816223,0.12469436489045621,0.12469436489045621,0.0,0.0,0.0,0.9994531124052898,0.9004773825644105,0.007145742420107126
v023,v023,0.1,0.13539382815361023,0.11011357605457306,0.10663023591041565,0.14701825380325317,0.11011357605457306,0.12465765625238419,0.12465765625238419,0.0,0.0,0.0,0.9994490155316411,0.8996642979071385,0.0072005875408649445
strong_core,v021+v023+v025,0.12,0.1350475698709488,0.11009380221366882,0.10703261941671371,0.14722055196762085,0.11009380221366882,0.12457649521529676,0.12457649521529676,0.0,0.0,0.0,0.9994420027605623,0.9030034586997495,0.0072608571499586105
v023,v023,0.12,0.1352238953113556,0.10993405431509018,0.10644448548555374,0.14666220545768738,0.10993405431509018,0.12446386255323887,0.12446386255323887,0.0,0.0,0.0,0.999204632929289,0.8978210185276532,0.008645289577543736
v021,v021,0.15,0.1345817595720291,0.11007916927337646,0.1074339970946312,0.14755840599536896,0.11007916927337646,0.12445648275315763,0.12445648275315763,0.0,0.0,0.0,0.9991431940971741,0.8983757062457004,0.008940867148339748
strong_core,v021+v023+v025,0.15,0.1347426027059555,0.10986362397670746,0.10689941048622131,0.14682511985301971,0.10986362397670746,0.12431068196892739,0.12431068196892739,0.0,0.0,0.0,0.9991247343992155,0.9015289876531355,0.009088763035833836
v021,v021,0.18,0.13422991335391998,0.10988683253526688,0.10739930719137192,0.14729918539524078,0.10988683253526688,0.12420932538807393,0.12420932538807393,0.0,0.0,0.0,0.9987630598190559,0.8962091598601022,0.010739101096987724
v023,v023,0.15,0.1349554806947708,0.10965945571660995,0.10615972429513931,0.1461206078529358,0.10965945571660995,0.12416382245719433,0.12416382245719433,0.0,0.0,0.0,0.9987528154414164,0.8949750442605117,0.010814625769853592
