utility,composite,spearman_to_anchor,max_spearman_to_failed,mean_spearman_to_failed,rank_delta_to_anchor,full,tail20,tail10,tail5,w_v016,w_v017,w_v021,w_v023,w_v025,spearman_to_sub_calibrated_tail_cli_,spearman_to_sub_anchor_blend_utility
0.1325540716821459,0.12865624161186492,0.9296705260897887,0.9546879447620555,0.9339700202307725,0.07936871098468469,0.13956404172793174,0.1176723848382624,0.10784388190663671,0.14374125096821397,0.12330124453661942,0.5138785322475375,0.2993035651532435,0.0338752660674621,0.02964139199513739,0.9132520956994894,0.9546879447620555
0.13249907589525511,0.1284930338131181,0.9370008183960931,0.9596328853908745,0.9345917045861074,0.07557098484231593,0.1392347200195859,0.1172308992728364,0.1084385513636122,0.14402357317911696,0.14642782269545168,0.4432612806099697,0.3981344587591109,0.002907217052827306,0.009269220882640481,0.9095505237813402,0.9596328853908745
0.1324848433275264,0.1284660418866039,0.9380586841209869,0.9604417501104019,0.9356711525050705,0.07448272553667395,0.13981972651167593,0.11682427620581035,0.1075229211727929,0.14371443918687704,0.076753517894744,0.5238810250865723,0.38171220116800775,0.008767777319287136,0.008885478531388838,0.9109005548997392,0.9604417501104019
0.13246781102351804,0.12855024961869183,0.9309177595866274,0.9554853393568586,0.9346047282856523,0.07830385639965012,0.1399048675731057,0.11725285102041748,0.10713150453719505,0.14347478224089769,0.06832799088708078,0.5729744501842396,0.29870045555433467,0.031528677741824246,0.028468425632520476,0.913724117214446,0.9554853393568586
0.13245145023377264,0.12853445168893948,0.9314625556764585,0.9561396967947632,0.9353628600640813,0.07851194312495996,0.13943060623332384,0.11741149076750994,0.10796450123437165,0.14372556468535036,0.1220602547967597,0.49800871867184077,0.30859317955942667,0.011686665380282924,0.059651181591689785,0.9145860233333994,0.9561396967947632
0.13243290040478609,0.12863716750265072,0.9268575317049992,0.9524474752673308,0.9332393616263541,0.08035428224759845,0.1398579646497664,0.11760076735073104,0.10706440600838624,0.1436119230377861,0.06098946895952851,0.6069633686889314,0.29468062109141574,0.022678138122816598,0.014688403137307755,0.9140312479853775,0.9524474752673308
0.1324271201936632,0.12846553656989354,0.9329415769586777,0.956379052326136,0.9318014684733277,0.07797542381306759,0.1391562680567929,0.11751739394417174,0.10826470886801969,0.1435029143088224,0.18958218734047527,0.41266202474426006,0.30642031395866576,0.08819241522136576,0.0031430587352329954,0.9072238846205194,0.956379052326136
0.13241163309818896,0.128488826886719,0.9303709651978126,0.9546725856817829,0.9316806742877403,0.07924333847029401,0.1393883357563363,0.11758613144736876,0.10780439007173875,0.1431757785139623,0.17527365402667822,0.444907753977018,0.24217729340426805,0.1222176540179244,0.015423644574111224,0.9086887628936976,0.9546725856817829
0.13235306706408048,0.1283383539902767,0.9368807689765503,0.959203794679183,0.9337492728065351,0.07503653289502893,0.14011353247005826,0.11665313155084593,0.10671562372584983,0.1428398135461923,0.079930386870967,0.5270716241471828,0.27593419863226126,0.11651819486332987,0.0005455954862591933,0.908294750933887,0.959203794679183
0.13233879841368607,0.12843739688624228,0.9289696016666567,0.9537511510296393,0.9324850964917524,0.07936762529368732,0.14000380722331945,0.11725099161863733,0.10659492730508825,0.1427114705439411,0.09079024119787034,0.5569136446443318,0.19386980402847984,0.135946162469262,0.022480147660056026,0.9112190419538654,0.9537511510296393
