group,models,alpha,full,tail20,tail10,tail5,ts_fold5,composite,utility,failed_excess,anchor_shortfall,rank_delta_excess,spearman_to_anchor,spearman_to_failed,mean_rank_delta_to_anchor
ridge_conservative,v034+v016+v017+v031+v032,0.12,0.1383000612258911,0.1129566952586174,0.10860162228345871,0.14977526664733887,0.1129566952586174,0.1273898061364889,0.1273898061364889,0.0,0.0,0.0,0.9985608439382293,0.9244975290026338,0.01169734075665474
ridge_conservative,v034+v016+v017+v031+v032,0.1,0.13798189163208008,0.11263490468263626,0.10842794924974442,0.14961059391498566,0.11263490468263626,0.12710757441818715,0.12710757441818715,0.0,0.0,0.0,0.9990078800390352,0.9219170345625344,0.009726028889417648
ridge_conservative,v034+v016+v017+v031+v032,0.08,0.1376456320285797,0.11230910569429398,0.10825080424547195,0.14944233000278473,0.11230910569429398,0.12681511975824833,0.12681511975824833,0.0,0.0,0.0,0.9993696376447159,0.9192827468727254,0.0077637918293476105
ridge_conservative,v034+v016+v017+v031+v032,0.06,0.13729186356067657,0.1119794026017189,0.10807015001773834,0.1492704600095749,0.1119794026017189,0.1265127278864384,0.1265127278864384,0.0,0.0,0.0,0.9996479966643338,0.9165957411524568,0.00581008568406105
ridge_conservative,v034+v016+v017+v031+v032,0.05,0.13710841536521912,0.11181306838989258,0.10797851532697678,0.14918319880962372,0.11181306838989258,0.12635780461132526,0.12635780461132526,0.0,0.0,0.0,0.9997564250401129,0.9152331237774466,0.004836549982428551
ridge_conservative,v034+v016+v017+v031+v032,0.04,0.13692069053649902,0.11164579540491104,0.10788597911596298,0.14909499883651733,0.11164579540491104,0.12620044611394407,0.12620044611394407,0.0,0.0,0.0,0.999844657791208,0.9138581668659381,0.003865203121677041
ridge_conservative,v034+v016+v017+v031+v032,0.03,0.13672852516174316,0.11147759854793549,0.10779257118701935,0.14900586009025574,0.11147759854793549,0.12604058757424355,0.12604058757424355,0.0,0.0,0.0,0.9999129294596716,0.9124703525526067,0.002895806450396776
ridge_conservative,v034+v016+v017+v031+v032,0.02,0.13653218746185303,0.11130832880735397,0.10769826173782349,0.1489158719778061,0.11130832880735397,0.12587830945849418,0.12587830945849418,0.0,0.0,0.0,0.9999614387465887,0.9110700187126315,0.0019285220187157393
ridge_core,v034+v021+v023,0.02,0.13596975803375244,0.11083070933818817,0.1074313223361969,0.14843584597110748,0.11083070933818817,0.12539388686418534,0.12539388686418534,0.0,0.0,0.0,0.999985577413333,0.9077612686235699,0.0011792539153248072
ridge_v034,v034,0.02,0.13596569001674652,0.11083235591650009,0.10744595527648926,0.1483171433210373,0.11083235591650009,0.1253828749060631,0.1253828749060631,0.0,0.0,0.0,0.9999581592263671,0.909636014836993,0.0019745477475225925
ridge_core,v034+v021+v023,0.03,0.1358887404203415,0.11076177656650543,0.10739247500896454,0.14828597009181976,0.11076177656650543,0.12531593441963196,0.12531593441963196,0.0,0.0,0.0,0.999967498904169,0.9075148963366895,0.0017697681905701756
ridge_v034,v034,0.03,0.13588038086891174,0.11076366901397705,0.10741343349218369,0.14810694754123688,0.11076366901397705,0.12529798187315466,0.12529798187315466,0.0,0.0,0.0,0.9999056341320335,0.9103119498659507,0.002963431179523468
ridge_core,v034+v021+v023,0.04,0.135806143283844,0.11069227755069733,0.10735295712947845,0.1481352001428604,0.11069227755069733,0.12523691132664683,0.12523691132664683,0.0,0.0,0.0,0.9999421272320734,0.9072616633192954,0.002361008431762457
ridge_v034,v034,0.04,0.13579200208187103,0.11069397628307343,0.10737957060337067,0.14789535105228424,0.11069397628307343,0.125211064517498,0.125211064517498,0.0,0.0,0.0,0.9998318432744575,0.9109702013879472,0.0039533572271466255
ridge_core,v034+v021+v023,0.05,0.13572199642658234,0.11062227934598923,0.10731278359889984,0.1479836255311966,0.11062227934598923,0.12515686228871345,0.12515686228871345,0.0,0.0,0.0,0.9999094245907725,0.9070015005720248,0.0029529796447604895
ridge_v034,v034,0.05,0.13570049405097961,0.11062335968017578,0.1073443591594696,0.1476822942495346,0.11062335968017578,0.1251221135258675,0.1251221135258675,0.0,0.0,0.0,0.9997366272284194,0.9116112030157125,0.004944405984133482
ridge_core,v034+v021+v023,0.06,0.13563622534275055,0.11055171489715576,0.10727192461490631,0.14783123135566711,0.11055171489715576,0.12507572770118713,0.12507572770118713,0.0,0.0,0.0,0.9998693543995143,0.9067344148388315,0.003545753424987197
ridge_v034,v034,0.06,0.13560603559017181,0.11055184155702591,0.10730783641338348,0.14746785163879395,0.11055184155702591,0.125031229108572,0.125031229108572,0.0,0.0,0.0,0.9996198344368966,0.9122347822281335,0.005936590489000082
ridge_core,v034+v021+v023,0.08,0.13546019792556763,0.11040908098220825,0.10718826204538345,0.14752405881881714,0.11040908098220825,0.12491045854985713,0.12491045854985713,0.0,0.0,0.0,0.9997670047858392,0.9061792993088292,0.004733005538582802
ridge_v034,v034,0.08,0.13540780544281006,0.11040598899126053,0.10723087936639786,0.14703497290611267,0.11040598899126053,0.12484343834221363,0.12484343834221363,0.0,0.0,0.0,0.9993209779567707,0.9134287492794179,0.007923942059278488
ridge_core,v034+v021+v023,0.1,0.13527819514274597,0.11026439815759659,0.10710199177265167,0.14721372723579407,0.11026439815759659,0.12474117875099183,0.12474117875099183,0.0,0.0,0.0,0.9996348035404163,0.9055964978724282,0.005922842305153608
ridge_v034,v034,0.1,0.13519790768623352,0.1102566048502922,0.10714873671531677,0.1465967744588852,0.1102566048502922,0.12464802786707878,0.12464802786707878,0.0,0.0,0.0,0.9989340308048373,0.9145510741657388,0.009915757924318314
