version,meta_mean,model_type,valid_rows,valid_frac,full_rank_corr,tail20_rank_corr,tail10_rank_corr,tail5_rank_corr
v023,0.1418794215575016,ridge_closed_form_corr_features,438235,0.8333269948239732,0.13808139602584993,0.10052471225280533,0.10173089473086795,0.13188864638592993
v018,0.13869970096086953,ridge_closed_form_corr_features,438235,0.8333269948239732,0.13723212778342747,0.09462655574994244,0.08804087974831756,0.11684566976405569
v026,0.1380254626304828,ridge_closed_form_corr_features,438235,0.8333269948239732,0.1363071351364477,0.09445827743039562,0.09109783747095473,0.11779913514543025
v021,0.14326128135927776,ridge_closed_form_corr_features,438235,0.8333269948239732,0.13619165759936158,0.10383844462922115,0.10853316816552114,0.13985877581463219
v024,0.14114251513532006,ridge_closed_form_corr_features,438235,0.8333269948239732,0.1358378201750863,0.10261039348831758,0.10537890768674942,0.13597906122560038
v029,0.13406606770957216,ridge_closed_form_corr_features,438235,0.8333269948239732,0.13396819524082892,0.1019500694502987,0.1101049834554994,0.19397773589254055
v017,0.12569332371793712,ridge_closed_form_corr_features,525886,1.0,0.13330342983407248,0.12001532376867378,0.10454145121400667,0.14226299830632325
v025,0.13827298880122216,ridge_closed_form_corr_features,438235,0.8333269948239732,0.13317822678092717,0.10174262621905628,0.10694353103540531,0.13669023539365896
v030,0.13326879327089275,ridge_closed_form_corr_features,438235,0.8333269948239732,0.13298820325783783,0.09861634032920447,0.09540192222306236,0.1489558871931691
v034,0.1344365333065319,ridge_closed_form_corr_features,438235,0.8333269948239732,0.1328928580564515,0.1019663726969954,0.10811525600638204,0.1314794823780669
v019,0.13361507951495946,ridge_closed_form_corr_features,438235,0.8333269948239732,0.13208497244968323,0.09858491060367391,0.09872392201820973,0.14958318550666724
v022,0.1328218821124648,ridge_closed_form_corr_features,438235,0.8333269948239732,0.13189999478381956,0.10103655916100536,0.1069138253888309,0.12569234736092263
v032,0.12531807813547624,ridge_closed_form_corr_features,525886,1.0,0.13074398841392335,0.12584764005738835,0.11399831305138945,0.16179208555660424
v033,0.1350324876964646,ridge_closed_form_corr_features,438235,0.8333269948239732,0.13072376865706256,0.10196986144695523,0.10569314847885293,0.13155704490758302
v020,0.1323466619499689,ridge_closed_form_corr_features,438235,0.8333269948239732,0.13059353838842125,0.09778506731225482,0.10625425149707318,0.16139664837939025
v027,0.005262983983826273,ridge_microstructure_features,438235,0.8333269948239732,0.12913119517258848,0.11732099421357049,0.11516743011333645,0.1314812138846448
v028,0.1357915886113605,ridge_closed_form_corr_features,438235,0.8333269948239732,0.12808300245730922,0.10445533342210138,0.11479294621781755,0.1684989387387163
v016,0.11851514906397435,ridge_corr_features,525886,1.0,0.11916113365617677,0.12319693418446262,0.1132659457910852,0.14389318471414772
v031,0.1215159267927794,ridge_closed_form_corr_features,525886,1.0,0.11903919035543059,0.11538522774869793,0.10365480415763756,0.15193687154940697
v010,0.0038684141663220205,lightgbm_clean,438235,0.8333269948239732,0.0773045530858923,0.08505276132648096,0.08099660350126495,0.11616393393381191
v011,0.003998171573605447,lightgbm_clean,438235,0.8333269948239732,0.0673526578876464,0.07736912934870678,0.07187249313979785,0.10194839398980993
v003,0.0022631149189952906,lightgbm_clean,438235,0.8333269948239732,0.061149982379182684,0.0710167045855843,0.06097637166307995,0.08160065304221185
v012,0.0021982611089365277,lightgbm_clean,438235,0.8333269948239732,0.05908933160959786,0.06823880228362643,0.0665957237756798,0.08826960732262573
v004,0.0008409981843672032,lightgbm_clean,438235,0.8333269948239732,0.05414593199550835,0.07204496008151452,0.06917138069990462,0.08945784722684244
v007,0.0024015327305053624,lightgbm_clean,438235,0.8333269948239732,0.04711537683198241,0.06747142785627043,0.07770672775672591,0.10173006088822384
v015,0.05333767269324284,public_xgb,525886,1.0,0.04665160733164992,0.009421621887135967,-0.01291453861374659,0.057810772500442975
v009,0.0016757661014981107,lightgbm_clean,438235,0.8333269948239732,0.04238751289436086,0.06004729102533179,0.05187636853006784,0.07500973784771212
v008,0.0011806474399181255,lightgbm_clean,438235,0.8333269948239732,0.042105198784057565,0.0675697264274335,0.07003525917916348,0.09165873736577877
v006,0.001803501162927401,lightgbm_clean,438235,0.8333269948239732,0.0410837198572191,0.05630437193781363,0.04554750714429767,0.06947262919169984
v001,-0.002858690892029592,,438235,0.8333269948239732,0.03728308501096379,0.05291074966192508,0.03132838862267338,0.07015642850342166
v005,0.0020429052104421475,lightgbm_clean,438235,0.8333269948239732,0.035800510456091075,0.059145200030170396,0.041312661908809487,0.065623210412965
v014,0.021671942057286384,public_lgbm,525886,1.0,0.03127561791986286,0.01759015806785548,0.024152043008793544,0.09074657752151524
v002,0.00019579296880554154,lightgbm_clean,438235,0.8333269948239732,0.02498729235935341,0.06740075531308651,0.04817639139131454,0.07580709792090588
