file,valid,rows,id_match,missing,mean,std,min,max,local_score,score_source,composite,utility,spearman_to_anchor,spearman_to_failed,rank_delta_to_anchor,warning
sub_ensemble_ranknorm_v005_v010_v012_v015_v017_v018_v019_v020_v021_v022_v023_v024_v025_v026.csv,True,538150,True,0,-0.04833795313239801,1.0404143122658425,-3.4683313287317588,4.097234399366224,0.14974595251568731,oof_pearson,,,,,,
sub_calibrated_tail_cli_full.csv,True,538150,True,0,1.412715049673559e-11,0.49634724811603326,-0.9986673,0.99820244,0.12336291372776031,scores.composite,0.12336291372776031,,,,,
sub_anchor_blend_utility_scan.csv,True,538150,True,0,5.650272381866288e-12,0.5592506722941556,-0.99998903,0.999991,0.12908001355826854,scores.utility,0.12908001355826854,0.12908001355826854,0.995783041382852,0.9344843979531173,0.019854336977005005,
sub_anchor_blend_micro_scan.csv,True,538150,True,0,1.2491376943931103e-13,0.5647345916233963,-0.9999883,0.99999094,0.12804221734404564,scores.utility,0.12804221734404564,0.12804221734404564,0.9981701704108185,0.9263681160074282,0.01314233522862196,
sub_anchor_blend_low_failed_scan.csv,True,538150,True,0,3.127755511597448e-11,0.5670230848028074,-0.9999919,0.99999124,0.1279003031551838,scores.utility,0.1279003031551838,0.1279003031551838,0.9972670629940447,0.9236968201188877,0.015700507909059525,
sub_anti_failed_rank_beta060.csv,True,538150,True,0,1.320343279308929e-18,0.5773502691886078,-0.9999981417820312,0.999998141782031,,,,,0.9996930465051331,0.8976645930490473,0.00536013627645387,"No OOF score; uses only public-LB feedback geometry. Diagnostic fallback, not first-choice submit."
sub_anti_failed_rank_beta100.csv,True,538150,True,0,1.1090883546195004e-18,0.577350269188526,-0.9999981417820312,0.999998141782031,,,,,0.9991541430662162,0.8903859729919157,0.008919724805912431,"No OOF score; uses only public-LB feedback geometry. Diagnostic fallback, not first-choice submit."
sub_anti_failed_rank_beta120.csv,True,538150,True,0,1.637225666343072e-18,0.5773502691885894,-0.9999981417820312,0.999998141782031,,,,,0.9987868498582094,0.8866793451418548,0.010695314360006503,"No OOF score; uses only public-LB feedback geometry. Diagnostic fallback, not first-choice submit."
sub_anti_failed_rank_beta150.csv,True,538150,True,0,1.3731570104812863e-18,0.5773502691885788,-0.9999981417820312,0.999998141782031,,,,,0.9981160884926988,0.8810391031037519,0.013353568433270617,"No OOF score; uses only public-LB feedback geometry. Diagnostic fallback, not first-choice submit."
sub_anti_failed_rank_beta020.csv,True,538150,True,0,1.3731570104812863e-18,0.5773502691884222,-0.9999981417820312,0.999998141782031,,,,,0.9966878690048235,0.8714459479255182,0.017765465292694925,"No OOF score; uses only public-LB feedback geometry. Diagnostic fallback, not first-choice submit."
