group,models,alpha,full,tail20,tail10,tail5,ts_fold5,composite,spearman_to_anchor,spearman_to_failed,mean_rank_delta_to_anchor
conservative,v016+v017+v031+v032,0.24,0.14081443846225739,0.11611858010292053,0.1102214977145195,0.15237079560756683,0.11611858010292053,0.12997237555682659,0.9923232414329246,0.9418805909421114,0.026662690564990044
conservative,v016+v017+v031+v032,0.22,0.1405826210975647,0.11572059243917465,0.11002173274755478,0.15209579467773438,0.11572059243917465,0.12969119660556316,0.9935997895614801,0.9395001282911081,0.024382760748267174
conservative,v016+v017+v031+v032,0.21,0.14045563340187073,0.11551933735609055,0.10992011427879333,0.15195639431476593,0.11551933735609055,0.12954449281096458,0.9941914192276431,0.9382773817668572,0.023246604949235916
conservative,v016+v017+v031+v032,0.2,0.14032131433486938,0.11531666666269302,0.10981732606887817,0.1518157422542572,0.11531666666269302,0.1293937645852566,0.9947523167769272,0.9370334598030827,0.022113118320703506
conservative,v016+v017+v031+v032,0.18,0.14003029465675354,0.11490700393915176,0.10960816591978073,0.15153054893016815,0.11490700393915176,0.12908001355826854,0.995783041382852,0.9344843979531173,0.019854336977005005
conservative,v016+v017+v031+v032,0.15,0.13953882455825806,0.11428170651197433,0.10928552597761154,0.15109318494796753,0.11428170651197433,0.1285791303962469,0.9971064690166962,0.9305116625697796,0.01648605242371559
conservative,v016+v017+v031+v032,0.12,0.13898195326328278,0.11364366114139557,0.10895204544067383,0.15064433217048645,0.11364366114139557,0.12804221734404564,0.9981701704108185,0.9263681160074282,0.01314233522862196
conservative,v016+v017+v031+v032,0.1,0.1385749876499176,0.11321122944355011,0.10872361809015274,0.15033861994743347,0.11321122944355011,0.12766451798379422,0.9987393316772089,0.9235149424579602,0.010926627553999424
balanced_no_v032,v016+v017+v021+v023,0.24,0.138102725148201,0.11270730942487717,0.10798661410808563,0.14736250042915344,0.11270730942487717,0.12689266130328178,0.9971471434116903,0.9134545798166072,0.01653824932873249
balanced_no_v032,v016+v017+v021+v023,0.22,0.13797861337661743,0.1125786304473877,0.10796123743057251,0.14748899638652802,0.1125786304473877,0.12680705040693285,0.9976152686199122,0.913207502251558,0.015133003704249859
balanced_no_v032,v016+v017+v021+v023,0.21,0.1379138082265854,0.11251316219568253,0.10794761031866074,0.14755147695541382,0.11251316219568253,0.12676245160400867,0.9978327511894229,0.9130704061902608,0.014432338066399097
balanced_no_v032,v016+v017+v021+v023,0.2,0.13784724473953247,0.11244700103998184,0.10793334245681763,0.14761343598365784,0.11244700103998184,0.1267167054116726,0.9980393183016386,0.9129245273808383,0.013733090832829475
