composite,full,tail20,tail10,ts_fold5,w_v032,w_v028,w_v017,w_v010,w_v029,w_v023,w_v031,w_v018,spearman_to_first,mean_rank_delta
0.12334670856067842,0.13608201119037847,0.1239942457684572,0.11746183764109691,0.11990285073896301,0.5038926035032407,0.2198874537355515,0.0834380438745078,0.1572493176118591,0.024287948191817506,0.011244633083023448,0.0,0.0,0.9108024417101659,0.08820528890365036
0.12334418408655695,0.13660092231046728,0.12369034338404057,0.11751022882052346,0.1197382106929272,0.49348066462682233,0.23298777999371503,0.06844555126909319,0.16668057316660026,0.012344675833742793,0.026060755110026586,0.0,0.0,0.914707210610518,0.0862991534003111
0.123338783059608,0.13585483799317835,0.12397879585969257,0.11753455832349373,0.11996690488045823,0.49908586609886074,0.2222031301686251,0.08308107123517737,0.16448036798956045,0.03114956450777632,0.0,0.0,0.0,0.9096720327796521,0.08887958853239554
0.1233346509180416,0.13576656159941855,0.12386754573790487,0.11777936469018994,0.11989425222294121,0.5123971405709224,0.23764025757436952,0.05821198740753551,0.16345278963184356,0.028297824815329022,0.0,0.0,0.0,0.9094081121733807,0.08904574506704102
0.1233341260892877,0.135562096023998,0.12402012922258884,0.1175586651804649,0.12008004212815464,0.5119043409951354,0.21738738257329163,0.0639661079927452,0.1782785236267985,0.028463644812029395,0.0,0.0,0.0,0.9067662473715642,0.09048878706869089
0.12333075850636516,0.13612547607672346,0.12386551506947968,0.11754753433993147,0.11984479054897616,0.49412696127233885,0.21903014228722067,0.08489073521949882,0.15867235582018038,0.04327980540076134,0.0,0.0,0.0,0.9119047342058333,0.08771974063565202
0.12332949333120084,0.13681377925919458,0.12350218008828245,0.11765709161139143,0.11957722445387879,0.497020873386453,0.22173753583374536,0.05477080950151324,0.161990009395072,0.04673693923164107,0.017743832651575277,0.0,0.0,0.9164928848274566,0.08541910102629109
0.12332731610797876,0.1367949166997662,0.1237004451152641,0.11727700536548641,0.1197399782960031,0.4913792830452034,0.22358978585619313,0.07156204002308676,0.17274790180452565,0.0008022331401324349,0.039918756130858615,0.0,0.0,0.9152553134563702,0.08601909504362268
0.1233265156139114,0.1357412225370317,0.12414754381914168,0.11747883923164051,0.11994015009933316,0.5104980803045795,0.21641551722908883,0.0947646718829855,0.14416209936405744,0.03415963121928862,0.0,0.0,0.0,0.9087643039802094,0.08913814478626557
0.12332500733822206,0.13574494034167228,0.12408728808667695,0.11730298150121156,0.1200937607921409,0.4894104289839569,0.21038528733767825,0.09925756268678856,0.17404114660477896,0.026905574386797356,0.0,0.0,0.0,0.9083780766985593,0.08957383487582744
0.12332470548204867,0.1360292089917172,0.12396958264027229,0.11735287925763818,0.11996207811783206,0.5018479277690537,0.18882199853705112,0.08021941041021036,0.17091513349722726,0.05819552978645762,0.0,0.0,0.0,0.9098168977663919,0.08889408892319327
0.12332438815707378,0.13529083252250843,0.12423993446136078,0.1173841846738839,0.12020625311951133,0.4983752841404653,0.23148651909827428,0.09842283967391657,0.17171535708734387,0.0,0.0,0.0,0.0,0.9054738166566313,0.09095172082859934
0.12332307525570099,0.13620154498313497,0.12387580999739103,0.11750904937730752,0.1198009769007683,0.5112084097390409,0.19248343789446784,0.07008232906897402,0.15636171455180467,0.06986410874571246,0.0,0.0,0.0,0.9114893766843954,0.08795124363723461
0.1233224730751366,0.13592068791550005,0.1240011523091168,0.1175665521644169,0.1198470485403114,0.4997527957748208,0.23968811234185225,0.09541767014169636,0.14318298400523427,0.016751723629839437,0.005206714106556915,0.0,0.0,0.910927067650139,0.08802875847628984
0.12332088343518428,0.1367750207656241,0.12358955544312236,0.11751182013083217,0.11962860903064844,0.4779652794931753,0.2216657986998435,0.08581664992063874,0.1579827807757718,0.045487129004082465,0.011082362106488166,0.0,0.0,0.9168126155427669,0.08518661485068287
