version,coverage,full_nonzero,ts_fold1,ts_fold2,ts_fold3,ts_fold4,ts_fold5,tail_50pct,tail_40pct,tail_30pct,tail_20pct,tail_10pct,cv_json,late_mean,late_min,gap_full_late
v020,0.8333269948239732,0.1323466619499689,0.20614745447238317,0.08438643416900797,0.21213734838220402,0.130048032499328,0.08938487991556722,0.12408849797454688,0.13267138142277915,0.10871699426843595,0.0899962346863702,0.12892877401428854,0.1323466619499689,0.12653537729436568,0.08938487991556722,0.005811284655603238
v017,1.0,0.12569332371793712,0.17311597102979331,0.0787931266195307,0.14869293407904893,0.1668343172838012,0.09167923692738536,0.1142218001023515,0.12490653749601362,0.11644135609757261,0.09724155803718477,0.13388436859156772,0.12569332371793712,0.1257956285027601,0.09167923692738536,-0.00010230478482298189
v023,0.8333269948239732,0.1418794215575016,0.21963020037741532,0.08979694432433821,0.21908370206705446,0.13836027057054012,0.07849191365072218,0.12438287302351836,0.12777937955282098,0.10552604828342683,0.08091400454457097,0.12730961925760864,0.1418794215575016,0.12494759306232055,0.07849191365072218,0.01693182849518106
v026,0.8333269948239732,0.1380254626304828,0.20295670083362466,0.08784122746360143,0.22139352700257664,0.13786301006303556,0.07763737399107871,0.1248228947956274,0.12850741611849467,0.1049712895430609,0.07994646979464022,0.12084975668109166,0.1380254626304828,0.12377690451258062,0.07763737399107871,0.014248558117902169
v018,0.8333269948239732,0.13869970096086953,0.2063157319842507,0.081937244838893,0.22710791427292987,0.14002760647657847,0.07666563418197878,0.1272544280635391,0.1308137557679402,0.10589824490696688,0.07913141539986027,0.11313799087794507,0.13869970096086953,0.1236614676860432,0.07666563418197878,0.015038233274826326
v024,0.8333269948239732,0.14114251513532006,0.21621299702059335,0.09625334508029877,0.20677289913129293,0.13367002654935514,0.08127180491787989,0.12178875477799855,0.12617480648707446,0.10526071676696071,0.08300180547260805,0.13095436192725168,0.14114251513532006,0.1234886024608914,0.08127180491787989,0.01765391267442866
v021,0.8333269948239732,0.14326128135927776,0.21933078545778448,0.11184197912442757,0.18079726524869616,0.134821605552175,0.08379800459440163,0.12039488498344196,0.12466099578383152,0.10692197706033077,0.08609031100277338,0.1398147428496112,0.14326128135927776,0.12204065105133137,0.08379800459440163,0.021220630307946395
v019,0.8333269948239732,0.13361507951495946,0.21953199611422222,0.09269252458799553,0.19616866245352169,0.13581811962670015,0.08552411035702853,0.12191434439667698,0.13167803398994207,0.1090165110094635,0.08658129123810042,0.11073439348824449,0.13361507951495946,0.1206405146955098,0.08552411035702853,0.012974564819449655
v025,0.8333269948239732,0.13827298880122216,0.19803075935761566,0.12073051631906127,0.17787396102696612,0.1333928815311163,0.08127050339313649,0.11670183098367196,0.1203932525114228,0.10311323699743002,0.08339080037395342,0.14447605683247355,0.13827298880122216,0.12058624002584599,0.08127050339313649,0.017686748775376168
v016,1.0,0.11851514906397435,0.16286742561002723,0.06529028144459162,0.11870123721262793,0.13799519924189488,0.1003258017514094,0.10561516963508051,0.12051714558947074,0.11011033608699776,0.10448830090986651,0.1458854754004913,0.11851514906397435,0.11958439176721462,0.1003258017514094,-0.0010692427032402696
v022,0.8333269948239732,0.1328218821124648,0.18676309823153714,0.13494449587535046,0.16852105518949054,0.12371468355577317,0.07845443403213323,0.11076877092966676,0.11478807714200698,0.09687264824926095,0.0791673290401476,0.14151921763627834,0.1328218821124648,0.11470822795051398,0.07845443403213323,0.018113654161950807
